name,slug,category,subCategory,categoryNameZh,categoryNameEn,subCategoryNameZh,subCategoryNameEn,license,homepage,repo,status,totalScore,scorePercent
"3FS","3fs","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","","https://github.com/deepseek-ai/3fs","tracked","",""
"5ire","5ire","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://5ire.app/","https://github.com/nanbingxyz/5ire","tracked","",""
"A2A","a2a","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://a2a-protocol.org/","https://github.com/a2aproject/a2a","tracked","",""
"A2UI","a2ui","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://a2ui.org/","https://github.com/google/a2ui","tracked","",""
"Acontext","acontext","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://acontext.io","https://github.com/memodb-io/acontext","tracked","",""
"Activepieces","activepieces","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://www.activepieces.com","https://github.com/activepieces/activepieces","tracked","",""
"Adala","adala","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://humansignal.github.io/Adala/","https://github.com/humansignal/adala","tracked","",""
"Aden Hive","aden-hive","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://docs.adenhq.com/","https://github.com/aden-hive/hive","tracked","",""
"adk-go","adk-go","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://google.github.io/adk-docs/","https://github.com/google/adk-go","tracked","",""
"AG-UI","ag-ui","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://ag-ui.com","https://github.com/ag-ui-protocol/ag-ui","tracked","",""
"Agency Agents","agency-agents","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","","https://github.com/msitarzewski/agency-agents","tracked","",""
"Agent Development Kit (ADK)","adk-python","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://google.github.io/adk-docs/","https://github.com/google/adk-python","tracked","",""
"Agent Development Kit Web (ADK Web)","adk-web","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://google.github.io/adk-docs/","https://github.com/google/adk-web","tracked","",""
"Agent Framework","agent-framework","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://aka.ms/agent-framework","https://github.com/microsoft/agent-framework","tracked","",""
"Agent Lightning","agent-lightning","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","MIT","https://microsoft.github.io/agent-lightning/","https://github.com/microsoft/agent-lightning","tracked","",""
"Agent OS","agent-os","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://buildermethods.com/agent-os","https://github.com/buildermethods/agent-os","tracked","",""
"Agent Sandbox","agent-sandbox","inference-serving","sandboxes-runtimes","推理与运行时","Inference & Runtime","沙箱与执行运行时","Sandboxes & Execution","Unknown","https://agent-sandbox.sigs.k8s.io","https://github.com/kubernetes-sigs/agent-sandbox","tracked","",""
"Agent Skills","addyosmani-agent-skills","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/addyosmani/agent-skills","tracked","",""
"Agent Skills","agent-skills","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agentskills.io/","https://github.com/vercel-labs/agent-skills","tracked","",""
"Agent Skills","agentskills","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agentskills.io","https://github.com/agentskills/agentskills","tracked","",""
"Agent Zero","agent-zero","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agent-zero.ai/","https://github.com/agent0ai/agent-zero","tracked","",""
"Agenta","agenta","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://docs.agenta.ai/","https://github.com/agenta-ai/agenta","tracked","",""
"AgentField","agentfield","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","http://www.agentfield.ai","https://github.com/agent-field/agentfield","tracked","",""
"agentgateway","agentgateway","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://agentgateway.dev/","https://github.com/agentgateway/agentgateway","tracked","",""
"Agentic Context Engine","agentic-context-engine","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://www.kayba.ai","https://github.com/kayba-ai/agentic-context-engine","tracked","",""
"AgentMemory","agentmemory","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Apache-2.0","https://agent-memory.dev","https://github.com/rohitg00/agentmemory","tracked","",""
"Agents Towards Production","agents-towards-production","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://www.diamant-ai.com/","https://github.com/nirdiamant/agents-towards-production","tracked","",""
"AgentScope","agentscope","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://doc.agentscope.io/","https://github.com/modelscope/agentscope","tracked","",""
"Agentset","agentset","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agentset.ai","https://github.com/agentset-ai/agentset","tracked","",""
"Agno","agno","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","","https://github.com/agno-agi/agno","tracked","",""
"Agor","agor","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agor.live","https://github.com/preset-io/agor","tracked","",""
"AI Chatbot (Vercel Chat SDK)","ai-chatbot","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://chat.vercel.ai/","https://github.com/vercel/ai-chatbot","tracked","",""
"AI Gateway (Portkey)","gateway","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://portkey.wiki/gh-10","https://github.com/portkey-ai/gateway","tracked","",""
"AI Hedge Fund","ai-hedge-fund","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","","https://github.com/virattt/ai-hedge-fund","tracked","",""
"AI-Trader","ai-trader","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://hkuds.github.io/AI-Trader/","https://github.com/hkuds/ai-trader","tracked","",""
"AIBrix","aibrix","coding-devtools","sdk-frameworks","开发者工具链","Developer Tooling","SDK 与框架","SDK Frameworks","Unknown","https://aibrix.readthedocs.io/latest/","https://github.com/vllm-project/aibrix","tracked","",""
"Aider","aider","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://aider.chat/","https://github.com/aider-ai/aider","tracked","",""
"AIO Sandbox","agent-infra-sandbox","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://sandbox.agent-infra.com","https://github.com/agent-infra/sandbox","tracked","",""
"AionUi","aion-ui","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://www.aionui.com","https://github.com/iofficeai/aionui","tracked","",""
"AIPex","aipex","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://claudechrome.com","https://github.com/aipexstudio/aipex","tracked","",""
"AIPyApp","aipyapp","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://aipy.app/","https://github.com/knownsec/aipyapp","tracked","",""
"Airweave","airweave","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://airweave.ai/","https://github.com/airweave-ai/airweave","tracked","",""
"Amplifier","amplifier","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","","https://github.com/microsoft/amplifier","tracked","",""
"Anthropic Cybersecurity Skills","anthropic-cybersecurity-skills","training-optimization","safety-guardrails","训练、评测与优化","Training, Evaluation & Optimization","安全与护栏","Safety & Guardrails","Apache-2.0","https://mahipal.engineer/Anthropic-Cybersecurity-Skills/","https://github.com/mukul975/Anthropic-Cybersecurity-Skills","tracked","",""
"AntV MCP Server Chart","mcp-server-chart","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/antvis/mcp-server-chart","tracked","",""
"Anything LLM","anythingllm","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://anythingllm.com/","https://github.com/mintplex-labs/anything-llm","tracked","",""
"Apache Doris","doris","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://doris.apache.org","https://github.com/apache/doris","tracked","",""
"Apache Iceberg","iceberg","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://iceberg.apache.org/","https://github.com/apache/iceberg","tracked","",""
"Apache Spark","apache-spark","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://spark.apache.org/","https://github.com/apache/spark","tracked","",""
"Apache Superset","superset","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://superset.apache.org/","https://github.com/apache/superset","tracked","",""
"ArchGW","archgw","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://docs.archgw.com/","https://github.com/katanemo/archgw","tracked","",""
"AReaL","areal","training-optimization","finetuning-alignment","训练、评测与优化","Training, Evaluation & Optimization","微调与对齐","Finetuning & Alignment","Unknown","https://inclusionai.github.io/AReaL/","https://github.com/inclusionai/areal","tracked","",""
"ART (Agent Reinforcement Trainer)","openpipe-art","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://art.openpipe.ai","https://github.com/openpipe/art","tracked","",""
"Aspire","aspire","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://aspire.dev","https://github.com/dotnet/aspire","tracked","",""
"Assistant UI","assistant-ui","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://www.assistant-ui.com","https://github.com/assistant-ui/assistant-ui","tracked","",""
"AstrBot","astrbot","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://astrbot.app","https://github.com/astrbotdevs/astrbot","tracked","",""
"Astron Agent","astron-agent","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://agent.xfyun.cn","https://github.com/iflytek/astron-agent","tracked","",""
"Astron RPA","astron-rpa","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","http://www.iflyrpa.com","https://github.com/iflytek/astron-rpa","tracked","",""
"AutoGen","autogen","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://microsoft.github.io/autogen/","https://github.com/microsoft/autogen","tracked","",""
